utc_timestamp,de_solar_generation_actual_mw,de_wind_offshore_generation_actual_mw,de_wind_onshore_generation_actual_mw,de_total_wind_generation_actual_mw,de_total_renewable_generation_actual_mw,solar_profile,wind_onshore_profile,wind_offshore_profile,plant_solar_generation_mw,plant_wind_onshore_generation_mw,plant_wind_offshore_generation_mw,plant_total_renewable_generation_mw,used_power_mw,curtailed_power_mw,electricity_used_mwh,useful_energy_mwh,hydrogen_produced_kg
2019-01-01 00:00:00,304.75,7731.58,64.0,7795.58,8100.33,0.17915405190911496,1.0,0.7424645168724913,4.367172491739544,25.071551230681166,0.0,29.43872372242071,29.43872372242071,0.0,29.43872372242071,19.135170419573463,485.66422384704225
2019-01-01 01:00:00,291.61,7563.41,64.0,7627.41,7919.019999999999,0.17142941124599514,1.0,0.7263151324255287,4.17887176477824,25.071551230681166,0.0,29.250422995459406,29.250422995459406,0.0,29.250422995459406,19.012774947048616,482.55773977280757
2019-01-01 02:00:00,343.37,7379.04,64.0,7443.04,7786.41,0.20185767614120692,1.0,0.7086100601148521,4.920610397009376,25.071551230681166,0.0,29.992161627690543,29.992161627690543,0.0,29.992161627690543,19.494905057998853,494.79454461926025
2019-01-01 03:00:00,391.99,6995.7,64.0,7059.7,7451.69,0.23044002233914349,1.0,0.6717978758138552,5.617351747455239,25.071551230681166,0.0,30.688902978136404,30.0,0.6889029781364044,30.0,19.5,494.9238578680203
2019-01-01 04:00:00,371.06,7301.97,64.0,7365.97,7737.030000000001,0.21813585726463067,1.0,0.7012090191484049,5.317417636701805,25.071551230681166,0.0,30.38896886738297,30.0,0.388968867382971,30.0,19.5,494.9238578680203
2019-01-01 05:00:00,411.74,7254.38,64.0,7318.38,7730.12,0.24205049822168662,1.0,0.6966389459734573,5.9003760516779,25.071551230681166,0.0,30.971927282359065,30.0,0.971927282359065,30.0,19.5,494.9238578680203
2019-01-01 06:00:00,442.81,7512.69,64.0,7576.69,8019.5,0.26031568736956584,1.0,0.721444484990493,6.345619855839828,25.071551230681166,0.0,31.417171086520995,30.0,1.4171710865209945,30.0,19.5,494.9238578680203
2019-01-01 07:00:00,364.43,7212.07,64.0,7276.07,7640.5,0.21423826460127568,1.0,0.6925759118059424,5.222407452550097,25.071551230681166,0.0,30.293958683231264,30.0,0.2939586832312635,30.0,19.5,494.9238578680203
2019-01-01 08:00:00,397.54,7394.47,64.0,7458.47,7856.01,0.23370271303018725,1.0,0.7100918047899822,5.696885159527936,25.071551230681166,0.0,30.768436390209104,30.0,0.7684363902091036,30.0,19.5,494.9238578680203
2019-01-01 09:00:00,422.05,7791.41,64.0,7855.41,8277.46,0.24811146056847241,1.0,0.7482099986555784,6.048121903654388,25.071551230681166,0.0,31.119673134335553,30.0,1.119673134335553,30.0,19.5,494.9238578680203
2019-01-01 10:00:00,451.23,7603.4,64.0,7667.4,8118.629999999999,0.26526557126480704,1.0,0.7301553767261413,6.466281356678046,25.071551230681166,0.0,31.537832587359212,30.0,1.5378325873592118,30.0,19.5,494.9238578680203
2019-01-01 11:00:00,504.14,6985.01,64.0,7049.01,7553.150000000001,0.2963698891860909,1.0,0.6707713138840341,7.224499885104425,25.071551230681166,0.0,32.29605111578559,30.0,2.2960511157855876,30.0,19.5,494.9238578680203
2019-01-01 12:00:00,488.71,7073.71,64.0,7137.71,7626.42,0.28729902119279266,1.0,0.6792891850884437,7.003382669197809,25.071551230681166,0.0,32.07493389987898,30.0,2.074933899878978,30.0,19.5,494.9238578680203
2019-01-01 13:00:00,418.71,6654.22,64.0,6718.22,7136.93,0.2461479674318803,1.0,0.6390055121286036,6.000258552965593,25.071551230681166,0.0,31.07180978364676,30.0,1.07180978364676,30.0,19.5,494.9238578680203
2019-01-01 14:00:00,429.94,6812.02,64.0,6876.02,7305.96,0.2527497721995238,1.0,0.6541590642825591,6.161188321898276,25.071551230681166,0.0,31.232739552579442,30.0,1.2327395525794422,30.0,19.5,494.9238578680203
2019-01-01 15:00:00,457.73,7442.76,64.0,7506.76,7964.49,0.26908674054260606,1.0,0.7147290990454607,6.5594285960424665,25.071551230681166,0.0,31.63097982672363,30.0,1.6309798267236317,30.0,19.5,494.9238578680203
2019-01-01 16:00:00,571.81,7611.08,64.0,7675.08,8246.89,0.3361512007289615,1.0,0.7308928880096799,8.194234298610626,25.071551230681166,0.0,33.26578552929179,30.0,3.26578552929179,30.0,19.5,494.9238578680203
2019-01-01 17:00:00,635.0,7675.97,64.0,7739.97,8374.970000000001,0.37329884483113374,1.0,0.7371242821748901,9.099768768677968,25.071551230681166,0.0,34.171319999359135,30.0,4.171319999359135,30.0,19.5,494.9238578680203
